#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657690173394178048|084.43086193341| 0.0466|-69.16638564774| 0.0483|   -0.1209| 0.0488|    1.592| 0.096|    0.616| 0.098|16.3343|0.0010|       |
Gaia DR2 4657690139034440064|084.42133708626| 0.0444|-69.17716811222| 0.0453|   -0.0365| 0.0507|    1.761| 0.084|    0.827| 0.096|15.9366|0.0015|       |
Gaia DR2 4657690169119005312|084.41347958032| 0.0314|-69.16417105539| 0.0347|    0.0343| 0.0329|    1.574| 0.065|    0.591| 0.070|15.5568|0.0008|       |
Gaia DR2 4657690139014712320|084.42026811901| 0.0383|-69.18008902620| 0.0407|   -0.0362| 0.0410|    1.733| 0.076|    1.069| 0.085|15.6256|0.0009|       |
Gaia DR2 4657690345192958336|084.38761263436| 0.0435|-69.14326799617| 0.0418|   -0.0646| 0.0439|    1.557| 0.090|    1.017| 0.088|15.8655|0.0007|       |
Gaia DR2 4657690379552561280|084.35467401177| 0.0298|-69.12849980551| 0.0306|   -0.1366| 0.0320|    1.676| 0.060|    0.768| 0.060|14.6713|0.0004|       |
Gaia DR2 4657690379552568448|084.36595430890| 0.0319|-69.13412169141| 0.0313|   -0.0975| 0.0328|    1.561| 0.064|    0.759| 0.063|15.6405|0.0021|       |
Gaia DR2 4657690379552581376|084.39892178597| 0.0472|-69.13540605484| 0.0501|    0.0069| 0.0470|    1.451| 0.095|    0.627| 0.096|16.2416|0.0012|       |
Gaia DR2 4657690306558480256|084.44618132490| 0.0476|-69.15211103561| 0.0452|   -0.1353| 0.0459|    0.878| 0.098|   -0.074| 0.091|14.9400|0.0010|       |
Gaia DR2 4657690379552579584|084.39066511865| 0.0186|-69.13699351685| 0.0179|   -0.0504| 0.0191|    1.640| 0.035|    0.786| 0.036|13.5213|0.0009|       |
Gaia DR2 4657690306523025792|084.44058424256| 0.0420|-69.15367569149| 0.0414|   -0.0745| 0.0416|    1.856| 0.085|    1.286| 0.084|15.3625|0.0008|       |
Gaia DR2 4657690306500276992|084.40362814648| 0.0407|-69.13965040916| 0.0402|   -0.1099| 0.0439|    1.578| 0.082|    0.714| 0.082|16.0647|0.0011|       |
Gaia DR2 4657690310833108864|084.41158503225| 0.0285|-69.13572194716| 0.0306|   -0.0488| 0.0283|    1.702| 0.059|    0.826| 0.060|15.0790|0.0006|       |
Gaia DR2 4657690310833114624|084.41328848352| 0.0459|-69.14467524018| 0.0469|   -0.0212| 0.0473|    1.574| 0.093|    0.777| 0.093|16.2938|0.0014|       |
Gaia DR2 4657690310833118080|084.42482666800| 0.0328|-69.14260649607| 0.0320|    0.1268| 0.0350|    1.904| 0.064|    0.717| 0.064|14.9876|0.0005|       |
Gaia DR2 4657690379552668928|084.39501310754| 0.0284|-69.13368381403| 0.0267|   -0.0329| 0.0282|    1.630| 0.057|    0.742| 0.055|15.2317|0.0006|       |
Gaia DR2 4657690276473455872|084.42540659646| 0.0341|-69.15039403296| 0.0334|   -0.0416| 0.0335|    1.654| 0.070|    0.747| 0.067|15.5405|0.0016|       |
Gaia DR2 4657690276473386496|084.42661547151| 0.0335|-69.16002450651| 0.0362|   -0.0424| 0.0344|    1.609| 0.068|    0.524| 0.073|15.6741|0.0007|       |
Gaia DR2 4657690448272033792|084.31950218548| 0.0372|-69.14731299801| 0.0387|   -0.0428| 0.0400|    1.599| 0.076|    0.846| 0.077|15.9563|0.0009|       |
Gaia DR2 4657690482631747584|084.25725632833| 0.0456|-69.13785444545| 0.0460|   -0.0204| 0.0447|    1.636| 0.092|    0.569| 0.093|16.3128|0.0009|       |
Gaia DR2 4657690478296337024|084.29196606405| 0.0168|-69.14527233225| 0.0150|   -0.0594| 0.0163|    1.591| 0.032|    0.694| 0.030|13.3359|0.0012|       |
Gaia DR2 4657690448272028928|084.31315762480| 0.0276|-69.13965207054| 0.0260|   -0.0003| 0.0282|    1.467| 0.054|    0.593| 0.052|14.7065|0.0007|       |
Gaia DR2 4657690413912290048|084.30116331788| 0.0356|-69.15001346589| 0.0311|   -0.0234| 0.0328|    1.702| 0.071|    0.767| 0.063|15.2238|0.0006|       |
Gaia DR2 4657690516991617792|084.29317494807| 0.0317|-69.13229082845| 0.0288|   -0.0642| 0.0304|    1.392| 0.066|    0.535| 0.059|15.2991|0.0006|       |
Gaia DR2 4657690516991616640|084.26844895216| 0.0491|-69.12872746265| 0.0426|   -0.0289| 0.0441|    1.753| 0.095|    0.315| 0.085|15.9924|0.0039|       |
Gaia DR2 4657690413912295040|084.31701443809| 0.0337|-69.14801567969| 0.0354|   -0.0375| 0.0366|    1.893| 0.068|    0.608| 0.071|14.7547|0.0008|       |
Gaia DR2 4657690620070693248|084.26045567954| 0.0401|-69.11213006001| 0.0387|   -0.0098| 0.0385|    1.789| 0.078|    0.484| 0.077|15.9756|0.0013|       |
Gaia DR2 4657690620070706432|084.28700688421| 0.0231|-69.12232425123| 0.0231|   -0.0321| 0.0248|    1.404| 0.046|    0.662| 0.045|13.4939|0.0004|       |
Gaia DR2 4657690654430446976|084.30990406065| 0.0398|-69.10902949007| 0.0357|   -0.0558| 0.0401|    1.535| 0.074|    0.585| 0.073|15.6098|0.0007|       |
Gaia DR2 4657690551351237888|084.30614917585| 0.0319|-69.13088082020| 0.0321|   -0.0102| 0.0377|    1.606| 0.068|    0.489| 0.073|15.3178|0.0006|       |
Gaia DR2 4657690585710976000|084.32106757255| 0.0416|-69.11663056153| 0.0407|   -0.0285| 0.0422|    1.665| 0.084|    0.425| 0.082|16.1831|0.0021|       |
Gaia DR2 4657690551351243776|084.31979254972| 0.0472|-69.13309866702| 0.0469|   -0.0867| 0.0506|    1.684| 0.096|    0.750| 0.095|16.3768|0.0017|       |
Gaia DR2 4657690551351243392|084.32236861400| 0.0298|-69.13001462271| 0.0282|   -0.0696| 0.0318|    1.663| 0.059|    0.731| 0.057|14.7606|0.0014|       |
Gaia DR2 4657690791869371392|084.18177850945| 0.0302|-69.15444480151| 0.0338|    0.8046| 0.0336|   -1.648| 0.057|    1.230| 0.065|15.6141|0.0006|       |
Gaia DR2 4657690787535255296|084.19481631435| 0.0246|-69.15701187048| 0.0248|   -0.0088| 0.0254|    1.723| 0.046|    0.602| 0.051|14.7103|0.0005|       |
Gaia DR2 4657690787593575680|084.17831414252| 0.0267|-69.15173505306| 0.0254|   -0.0076| 0.0277|    1.641| 0.049|    0.599| 0.047|14.5035|0.0004|       |
Gaia DR2 4657690723149922560|084.23281122087| 0.0269|-69.17564349892| 0.0264|   -0.0333| 0.0274|    1.571| 0.051|    0.719| 0.053|15.1180|0.0036|       |
Gaia DR2 4657690718874537984|084.20176793848| 0.0329|-69.16252270614| 0.0301|   -0.0630| 0.0324|    1.496| 0.059|    1.021| 0.062|14.9841|0.0006|       |
Gaia DR2 4657690688770367360|084.19803003356| 0.0246|-69.16955457562| 0.0255|   -0.0023| 0.0260|    1.767| 0.046|    0.662| 0.051|12.9868|0.0019| 286.44| 0.84
Gaia DR2 4657690860588866560|084.23826457271| 0.0399|-69.14656215911| 0.0377|   -0.0719| 0.0391|    1.809| 0.081|    0.728| 0.077|15.9038|0.0007|       |
Gaia DR2 4657690929308308480|084.16685061537| 0.0339|-69.12518767368| 0.0318|   -0.0508| 0.0334|    1.663| 0.066|    0.701| 0.066|15.1786|0.0005|       |
Gaia DR2 4657690924974237440|084.17786373168| 0.0412|-69.12712353298| 0.0392|   -0.1073| 0.0404|    1.351| 0.083|    0.423| 0.081|16.1607|0.0008|       |
Gaia DR2 4657690894948572032|084.15804538529| 0.0276|-69.13564043943| 0.0264|   -0.0421| 0.0292|    1.676| 0.055|    0.611| 0.056|14.8221|0.0054|       |
Gaia DR2 4657690826229267328|084.24065067302| 0.0338|-69.16159760885| 0.0326|    0.0461| 0.0329|    1.656| 0.065|    0.607| 0.068|15.7774|0.0051|       |
Gaia DR2 4657690890613081344|084.17949678515| 0.0353|-69.14824418050| 0.0270|   -0.0853| 0.0288|    1.768| 0.063|    0.647| 0.053|11.4243|0.0009|       |
Gaia DR2 4657690929308317824|084.17466107124| 0.0333|-69.13501527853| 0.0314|    0.0095| 0.0328|    1.556| 0.065|    0.563| 0.064|15.3430|0.0008|       |
Gaia DR2 4657690860588851584|084.20914178581| 0.0296|-69.13690611499| 0.0287|   -0.0429| 0.0293|    1.589| 0.057|    0.600| 0.055|14.9926|0.0018|       |
Gaia DR2 4657690963668054656|084.14478588588| 0.0418|-69.15990768274| 0.0497|   -0.0470| 0.0433|    1.722| 0.078|    1.066| 0.098|15.9600|0.0009|       |
Gaia DR2 4657690963668049792|084.14004042439| 0.0453|-69.15480980586| 0.0455|   -0.0358| 0.0456|    1.631| 0.081|    0.503| 0.090|15.8758|0.0012|       |
Gaia DR2 4657690963668054784|084.14318191334| 0.0274|-69.16187088442| 0.0276|   -0.0695| 0.0275|    1.540| 0.051|    0.637| 0.056|15.0468|0.0012|       |
Gaia DR2 4657691238545988224|084.24565680371| 0.0317|-69.13940949170| 0.0300|    0.0100| 0.0316|    1.654| 0.063|    0.630| 0.061|15.3908|0.0006|       |
Gaia DR2 4657691341625166208|084.17770108550| 0.0483|-69.10761296024| 0.0492|    0.0288| 0.0463|    1.806| 0.099|    0.651| 0.097|16.2756|0.0010|       |
Gaia DR2 4657691307265595008|084.16986281701| 0.0325|-69.11469135382| 0.0290|   -0.0784| 0.0301|    1.488| 0.066|    0.740| 0.059|15.0961|0.0006|       |
Gaia DR2 4657691440370357760|084.19685968469| 0.0417|-69.09838752687| 0.0384|   -0.0590| 0.0381|    1.600| 0.082|    0.607| 0.078|15.8152|0.0012|       |
Gaia DR2 4657691479064111616|084.18884484258| 0.0276|-69.08280440285| 0.0276|   -0.0765| 0.0261|    1.837| 0.054|    0.738| 0.056|14.1076|0.0007|       |
Gaia DR2 4657691543449564672|084.15459127433| 0.0344|-69.10310197017| 0.0346|   -0.0647| 0.0335|    1.649| 0.069|    0.548| 0.069|15.4280|0.0012|       |
Gaia DR2 4657691513424023040|084.11548923136| 0.0311|-69.10834813264| 0.0279|   -0.0601| 0.0303|    1.622| 0.062|    0.683| 0.057|13.5769|0.0005|       |
Gaia DR2 4657691650862784128|084.13346740733| 0.0282|-69.08793653897| 0.0267|    0.0070| 0.0266|    1.649| 0.054|    0.693| 0.051|14.5968|0.0005|       |
Gaia DR2 4657691680941583104|084.15494504992| 0.0318|-69.08077807374| 0.0306|   -0.0065| 0.0305|    1.662| 0.061|    0.627| 0.057|15.0766|0.0064|       |
Gaia DR2 4657691650862798080|084.16037911174| 0.0460|-69.09388174502| 0.0437|   -0.0184| 0.0432|    1.833| 0.093|    0.628| 0.098|15.9691|0.0007|       |
Gaia DR2 4657691650862797952|084.16181926649| 0.0420|-69.09246320881| 0.0410|   -0.0317| 0.0401|    1.632| 0.084|    0.782| 0.081|15.6840|0.0006|       |
Gaia DR2 4657691715248301184|084.11828798504| 0.0276|-69.08087754386| 0.0246|   -0.0752| 0.0249|    1.977| 0.054|    0.716| 0.050|13.4408|0.0010|       |
Gaia DR2 4657691857021313536|084.37028022933| 0.0262|-69.11845653965| 0.0252|   -0.0177| 0.0263|    1.740| 0.052|    0.706| 0.053|14.5469|0.0005|       |
Gaia DR2 4657691891381060864|084.40341124933| 0.0259|-69.10921501290| 0.0265|    0.0070| 0.0265|    1.510| 0.055|    0.589| 0.051|14.8151|0.0039|       |
Gaia DR2 4657691857021329280|084.40275274102| 0.0316|-69.12550423087| 0.0321|    0.0397| 0.0327|    1.766| 0.062|    0.835| 0.064|13.5840|0.0005|       |
Gaia DR2 4657691887105751936|084.40036406489| 0.0267|-69.11248108766| 0.0263|   -0.0437| 0.0272|    1.665| 0.052|    0.780| 0.053|13.6019|0.0006|       |
Gaia DR2 4657691788301862400|084.41979579146| 0.0454|-69.13365300089| 0.0499|    0.0054| 0.0476|    1.632| 0.093|    0.778| 0.097|16.3698|0.0012|       |
Gaia DR2 4657691788301860864|084.41873091976| 0.0186|-69.13268383947| 0.0186|   -0.0309| 0.0192|    1.654| 0.036|    0.710| 0.036|13.8175|0.0008|       |
Gaia DR2 4657691891381055232|084.38590746507| 0.0457|-69.11130043459| 0.0486|   -0.0167| 0.0489|    1.740| 0.091|    0.756| 0.094|16.0074|0.0012|       |
Gaia DR2 4657692028819997952|084.37812765700| 0.0289|-69.08818428266| 0.0298|   -0.0463| 0.0290|    1.649| 0.056|    0.729| 0.059|15.3902|0.0094|       |
Gaia DR2 4657691960100539136|084.42100626892| 0.0401|-69.09558121258| 0.0459|    0.0813| 0.0420|    1.680| 0.080|    0.719| 0.087|15.8004|0.0007|       |
Gaia DR2 4657691921407983104|084.42257937020| 0.0412|-69.10289196891| 0.0461|   -0.0734| 0.0454|    1.414| 0.083|    0.728| 0.086|15.9976|0.0008|       |
Gaia DR2 4657691960100551424|084.44456665106| 0.0332|-69.10542161780| 0.0345|    0.0311| 0.0328|    1.764| 0.066|    0.908| 0.066|15.3507|0.0006|       |
Gaia DR2 4657692028820003456|084.40139179211| 0.0436|-69.08363855359| 0.0508|   -0.0403| 0.0472|    1.713| 0.087|    0.639| 0.095|15.9615|0.0010|       |
Gaia DR2 4657692028820011136|084.40751016741| 0.0310|-69.09596698143| 0.0323|   -0.0147| 0.0332|    1.673| 0.061|    0.675| 0.063|15.0826|0.0005|       |
Gaia DR2 4657692166258921344|084.29761761809| 0.0425|-69.08451039827| 0.0412|   -0.0839| 0.0442|    1.844| 0.083|    1.293| 0.085|15.1330|0.0013|       |
Gaia DR2 4657692166258918912|084.28564947040| 0.0501|-69.08611549655| 0.0483|   -0.0110| 0.0508|    1.711| 0.098|    0.434| 0.098|16.2590|0.0011|       |
Gaia DR2 4657692166258922496|084.29597425164| 0.0212|-69.08692854672| 0.0195|   -0.0369| 0.0214|    1.749| 0.040|    0.597| 0.040|13.6859|0.0019|       |
Gaia DR2 4657692161978349696|084.28207462101| 0.0327|-69.08495618682| 0.0343|   -0.0403| 0.0370|    1.495| 0.063|    0.885| 0.072|14.9728|0.0009|       |
Gaia DR2 4657692166258911104|084.27066101316| 0.0412|-69.08295378879| 0.0412|   -0.0032| 0.0411|    1.627| 0.083|    0.450| 0.088|15.8321|0.0012|       |
Gaia DR2 4657692372397208832|084.44761817532| 0.0324|-69.07018390130| 0.0334|    0.0832| 0.0309|    1.710| 0.062|    0.563| 0.062|15.3348|0.0027|       |
Gaia DR2 4657692338057418624|084.45433041358| 0.0286|-69.08561344031| 0.0310|   -0.0196| 0.0295|    1.634| 0.055|    0.749| 0.056|11.3663|0.0015|       |
Gaia DR2 4657692406776887680|084.38788254139| 0.0358|-69.07630017483| 0.0399|   -0.0168| 0.0386|    1.540| 0.068|    0.725| 0.079|15.5766|0.0013|       |
Gaia DR2 4657692539882108032|084.37771175562| 0.0279|-69.04252004115| 0.0313|    0.0012| 0.0324|    1.695| 0.051|    0.523| 0.061|12.7128|0.0055| 273.30| 1.58
Gaia DR2 4657692578575574912|084.38796500978| 0.0416|-69.03260073619| 0.0490|   -0.0410| 0.0478|    1.655| 0.078|    0.300| 0.097|16.2407|0.0011|       |
Gaia DR2 4657692471162578816|084.46594144777| 0.0367|-69.07353766055| 0.0359|   -0.0150| 0.0394|    1.641| 0.069|    0.664| 0.073|15.3176|0.0007|       |
Gaia DR2 4657692956532850176|084.17556508562| 0.0355|-69.06741785862| 0.0372|   -0.0434| 0.0332|    1.346| 0.070|    0.624| 0.074|14.8339|0.0004|       |
Gaia DR2 4657692956532868992|084.20924732156| 0.0356|-69.07752080863| 0.0320|   -0.0818| 0.0320|    1.577| 0.071|    0.513| 0.065|15.4777|0.0014|       |
Gaia DR2 4657693025252363776|084.26864399588| 0.0361|-69.06672721962| 0.0381|    0.0347| 0.0390|    1.735| 0.068|    0.491| 0.083|15.6407|0.0007|       |
Gaia DR2 4657693128331551360|084.22276404429| 0.0515|-69.04461604396| 0.0489|   -0.0850| 0.0471|    1.782| 0.100|    0.752| 0.098|16.2741|0.0008|       |
Gaia DR2 4657693197051000064|084.15049029757| 0.0343|-69.05021827866| 0.0341|   -0.0212| 0.0309|    1.543| 0.066|    0.553| 0.069|15.4688|0.0007|       |
Gaia DR2 4657693162691260544|084.13432061452| 0.0449|-69.06332911341| 0.0396|   -0.0643| 0.0374|    1.420| 0.091|    0.692| 0.081|15.7796|0.0026|       |
Gaia DR2 4657693197030874624|084.16517646257| 0.0487|-69.04920406300| 0.0457|   -0.0254| 0.0436|    1.763| 0.092|    0.527| 0.093|16.1308|0.0009|       |
Gaia DR2 4657693295796334848|084.16853154991| 0.0461|-69.04403279410| 0.0456|    0.0564| 0.0439|    1.703| 0.087|    0.442| 0.093|16.0861|0.0011|       |
Gaia DR2 4657693575007973888|084.25719028905| 0.0350|-69.01746649623| 0.0370|   -0.0374| 0.0369|    1.823| 0.068|    0.893| 0.075|14.6715|0.0005|       |
Gaia DR2 4657693643727438976|084.20722766815| 0.0407|-69.00773141982| 0.0435|    0.0518| 0.0442|    1.813| 0.081|    0.554| 0.089|15.8284|0.0019|       |
Gaia DR2 4657693575007969408|084.24326866481| 0.0279|-69.01187640131| 0.0313|    0.0093| 0.0330|    1.667| 0.053|    0.573| 0.065|14.8979|0.0005|       |
Gaia DR2 4657698419732409344|084.47613356083| 0.0376|-69.02904058487| 0.0434|    0.0058| 0.0413|    1.701| 0.069|    0.631| 0.084|15.7195|0.0012|       |
Gaia DR2 4657698454092124416|084.39359843096| 0.0274|-69.01949082115| 0.0331|   -0.0379| 0.0312|    1.368| 0.050|    0.825| 0.061|13.6887|0.0005|       |
Gaia DR2 4657698488451870592|084.41817371112| 0.0379|-69.01523951986| 0.0451|    0.0583| 0.0420|    1.728| 0.070|    0.558| 0.085|15.7120|0.0062|       |
Gaia DR2 4657698591531080576|084.42028464210| 0.0231|-69.00114767309| 0.0264|   -0.0280| 0.0252|    1.729| 0.043|    0.740| 0.050|14.4846|0.0004|       |
Gaia DR2 4657698522811617152|084.44862187361| 0.0366|-69.00972503203| 0.0411|   -0.0510| 0.0389|    1.784| 0.070|    0.546| 0.079|15.6906|0.0007|       |
Gaia DR2 4657698866408927872|084.30804766582| 0.0388|-68.97591370027| 0.0504|   -0.1080| 0.0455|    1.518| 0.076|    0.735| 0.097|16.0464|0.0025|       |
Gaia DR2 4657698866408943360|084.32768746593| 0.0313|-68.98833418237| 0.0393|   -0.0161| 0.0354|    1.717| 0.060|    0.679| 0.076|13.3427|0.0009|       |
Gaia DR2 4657698900749598336|084.32252835229| 0.0296|-68.96675345872| 0.0394|   -0.0382| 0.0341|    1.698| 0.058|    0.649| 0.080|15.6616|0.0012|       |
Gaia DR2 4657699033872828032|084.43840454347| 0.0439|-68.98018347433| 0.0525|   -0.0169| 0.0481|    1.720| 0.080|    0.670| 0.097|16.3203|0.0008|       |
Gaia DR2 4657699175646617344|084.44061515361| 0.0365|-68.94549709320| 0.0499|   -0.0098| 0.0399|    1.511| 0.068|    0.535| 0.095|15.9462|0.0023|       |
Gaia DR2 4657699106908114176|084.47505952934| 0.0390|-68.95546141997| 0.0430|    1.1693| 0.0391|    1.528| 0.074|   -0.626| 0.085|16.0677|0.0008|       |
Gaia DR2 4657699210006344320|084.38636787273| 0.0371|-68.97304002663| 0.0461|    0.0009| 0.0398|    1.419| 0.071|    0.809| 0.088|15.9579|0.0019|       |
Gaia DR2 4657699244366063872|084.36530263756| 0.0294|-68.94970201950| 0.0334|   -0.0536| 0.0285|    1.776| 0.061|    0.874| 0.072|13.7830|0.0005|       |
Gaia DR2 4657699484884201600|084.26626880488| 0.0351|-68.98679199619| 0.0414|   -0.0376| 0.0388|    1.673| 0.068|    0.527| 0.083|15.3355|0.0041|       |
Gaia DR2 4657700584395909504|084.48100830676| 0.0241|-68.95191322199| 0.0290|    0.0240| 0.0257|    1.823| 0.045|    0.758| 0.058|14.9631|0.0039|       |
Gaia DR2 4657700653115357440|084.42595026206| 0.0385|-68.93829823931| 0.0462|   -0.1378| 0.0389|    1.679| 0.075|    1.519| 0.092|15.4648|0.0032|       |
Gaia DR2 4657700584395913088|084.48870923471| 0.0438|-68.95332194948| 0.0481|    0.0123| 0.0454|    1.791| 0.081|    0.622| 0.099|15.7757|0.0136|       |
Gaia DR2 4657700790554314752|084.45475253322| 0.0322|-68.91711866093| 0.0390|   -0.1383| 0.0327|    1.586| 0.060|    0.987| 0.075|11.2852|0.0015|       |
Gaia DR2 4657700717527176192|084.49690246028| 0.0337|-68.92507851659| 0.0424|    0.0211| 0.0347|    1.690| 0.063|    0.799| 0.082|15.3752|0.0007|       |
Gaia DR2 4657777618905878912|085.18540925355| 0.0300|-69.02293601420| 0.0375|   -0.0118| 0.0398|    1.672| 0.058|    0.689| 0.070|15.5095|0.0006|       |
Gaia DR2 4657777893783731968|085.09583620008| 0.0325|-69.00534630552| 0.0431|    0.0616| 0.0421|    1.834| 0.062|    0.733| 0.081|15.5290|0.0007|       |
Gaia DR2 4657777855106021376|085.13294857309| 0.0425|-68.99706083657| 0.0589|    0.0024| 0.0604|    1.634| 0.083|    0.903| 0.098|15.6791|0.0007|       |
Gaia DR2 4657777928143478656|085.12153516904| 0.0366|-68.99642803468| 0.0476|    0.0162| 0.0463|    1.597| 0.071|    1.018| 0.088|15.1399|0.0006|       |
Gaia DR2 4657777928143474048|085.11039250567| 0.0241|-68.99845557820| 0.0307|   -0.0288| 0.0306|    1.785| 0.047|    0.802| 0.056|13.7280|0.0011|       |
Gaia DR2 4657778065582400000|085.08544360749| 0.0295|-68.96868928902| 0.0400|   -0.0186| 0.0352|    1.704| 0.055|    0.674| 0.077|15.2470|0.0008|       |
Gaia DR2 4657778748460056448|085.02920210522| 0.0287|-68.97648564471| 0.0396|   -0.1100| 0.0341|    1.561| 0.054|    0.848| 0.074|15.5629|0.0006|       |
Gaia DR2 4657778821496624640|085.05030751290| 0.0337|-68.95720730034| 0.0541|   -0.1303| 0.0475|    1.819| 0.062|    0.567| 0.093|15.2814|0.0021|       |
Gaia DR2 4657778787136905856|085.08379650589| 0.0175|-68.97051908255| 0.0227|    0.0137| 0.0198|    1.618| 0.033|    0.442| 0.043|13.7786|0.0007| 287.22| 1.64
Gaia DR2 4657781982592481664|084.89257611864| 0.0245|-68.93650917602| 0.0363|   -0.0581| 0.0323|    1.680| 0.045|    0.681| 0.060|14.0702|0.0004|       |
Gaia DR2 4657781948232739712|084.87271375989| 0.0386|-68.94595051455| 0.0525|   -0.1569| 0.0462|    1.759| 0.070|    0.706| 0.096|16.1178|0.0015|       |
Gaia DR2 4657782085671686400|084.87664235379| 0.0352|-68.92507350091| 0.0477|    0.0214| 0.0434|    1.739| 0.064|    0.886| 0.092|15.3937|0.0006|       |
Gaia DR2 4657782360549566592|084.80277636330| 0.0192|-68.91064374611| 0.0241|   -0.0478| 0.0216|    1.653| 0.034|    0.726| 0.042|13.5295|0.0015|       |

